Company,Sector,GRI_Code,GRI_Category,GRI_Topic,GRI_Description,Disclosed,Completeness_Pct
Johnson & Johnson,Health Care,GRI 405,Social,Diversity & Equal Opportunity,Diversity of governance bodies,True,61
Johnson & Johnson,Health Care,GRI 406,Social,Non-Discrimination,Incidents of discrimination,True,77
Johnson & Johnson,Health Care,GRI 407,Social,Freedom of Association,Operations where rights may be at risk,True,81
Johnson & Johnson,Health Care,GRI 408,Social,Child Labor,Operations at significant risk for child labor,True,80
Johnson & Johnson,Health Care,GRI 409,Social,Forced Labor,Operations at risk for forced labor,True,71
Johnson & Johnson,Health Care,GRI 413,Social,Local Communities,Operations with local community engagement,True,56
Johnson & Johnson,Health Care,GRI 414,Social,Supplier Social Assessment,New suppliers screened on social criteria,True,71
Johnson & Johnson,Health Care,GRI 415,Social,Public Policy,Political contributions,True,81
Johnson & Johnson,Health Care,GRI 416,Social,Customer Health & Safety,Assessment of health and safety impacts,False,0
Johnson & Johnson,Health Care,GRI 418,Social,Customer Privacy,Substantiated complaints on privacy breaches,True,98
Walmart,Consumer Goods,GRI 2,Universal,General Disclosures,"Organizational profile, governance, stakeholder engagement",True,79
Walmart,Consumer Goods,GRI 3,Universal,Material Topics,Process for determining material topics,False,0
Walmart,Consumer Goods,GRI 201,Economic,Economic Performance,Direct economic value generated and distributed,False,0
Walmart,Consumer Goods,GRI 202,Economic,Market Presence,Ratios of standard entry level wage by gender,False,0
Walmart,Consumer Goods,GRI 203,Economic,Indirect Economic Impacts,Infrastructure investments and services supported,True,82
Walmart,Consumer Goods,GRI 204,Economic,Procurement Practices,Proportion of spending on local suppliers,True,50
Walmart,Consumer Goods,GRI 205,Economic,Anti-Corruption,Operations assessed for corruption risks,True,84
Walmart,Consumer Goods,GRI 206,Economic,Anti-Competitive Behavior,Legal actions for anti-competitive behavior,True,53
Walmart,Consumer Goods,GRI 207,Economic,Tax,"Approach to tax, governance, control",False,0
Walmart,Consumer Goods,GRI 301,Environmental,Materials,Materials used by weight or volume,True,98
Walmart,Consumer Goods,GRI 302,Environmental,Energy,Energy consumption within organization,True,78
Walmart,Consumer Goods,GRI 303,Environmental,Water & Effluents,Water withdrawal by source,True,63
Walmart,Consumer Goods,GRI 304,Environmental,Biodiversity,Operational sites near protected areas,False,0
Walmart,Consumer Goods,GRI 305,Environmental,Emissions,Direct GHG emissions (Scope 1),False,0
Walmart,Consumer Goods,GRI 306,Environmental,Waste,Waste generated and disposal,False,0
Walmart,Consumer Goods,GRI 308,Environmental,Supplier Environmental Assessment,New suppliers screened on environment,True,81
Walmart,Consumer Goods,GRI 401,Social,Employment,New employee hires and turnover,False,0
Walmart,Consumer Goods,GRI 402,Social,Labor/Management Relations,Minimum notice periods for operational changes,True,88
Walmart,Consumer Goods,GRI 403,Social,Occupational Health & Safety,Management system for health and safety,True,95
Walmart,Consumer Goods,GRI 404,Social,Training & Education,Average hours of training per year,False,0
Walmart,Consumer Goods,GRI 405,Social,Diversity & Equal Opportunity,Diversity of governance bodies,True,85
Walmart,Consumer Goods,GRI 406,Social,Non-Discrimination,Incidents of discrimination,True,64
Walmart,Consumer Goods,GRI 407,Social,Freedom of Association,Operations where rights may be at risk,True,57
Walmart,Consumer Goods,GRI 408,Social,Child Labor,Operations at significant risk for child labor,True,57
Walmart,Consumer Goods,GRI 409,Social,Forced Labor,Operations at risk for forced labor,True,59
Walmart,Consumer Goods,GRI 413,Social,Local Communities,Operations with local community engagement,True,95
Walmart,Consumer Goods,GRI 414,Social,Supplier Social Assessment,New suppliers screened on social criteria,False,0
Walmart,Consumer Goods,GRI 415,Social,Public Policy,Political contributions,True,76
Walmart,Consumer Goods,GRI 416,Social,Customer Health & Safety,Assessment of health and safety impacts,True,80
Walmart,Consumer Goods,GRI 418,Social,Customer Privacy,Substantiated complaints on privacy breaches,False,0
Nike,Consumer Goods,GRI 2,Universal,General Disclosures,"Organizational profile, governance, stakeholder engagement",True,74
Nike,Consumer Goods,GRI 3,Universal,Material Topics,Process for determining material topics,False,0
Nike,Consumer Goods,GRI 201,Economic,Economic Performance,Direct economic value generated and distributed,True,97
Nike,Consumer Goods,GRI 202,Economic,Market Presence,Ratios of standard entry level wage by gender,True,54
Nike,Consumer Goods,GRI 203,Economic,Indirect Economic Impacts,Infrastructure investments and services supported,False,0
Nike,Consumer Goods,GRI 204,Economic,Procurement Practices,Proportion of spending on local suppliers,True,76
Nike,Consumer Goods,GRI 205,Economic,Anti-Corruption,Operations assessed for corruption risks,True,100
Nike,Consumer Goods,GRI 206,Economic,Anti-Competitive Behavior,Legal actions for anti-competitive behavior,True,50
Nike,Consumer Goods,GRI 207,Economic,Tax,"Approach to tax, governance, control",False,0
Nike,Consumer Goods,GRI 301,Environmental,Materials,Materials used by weight or volume,False,0
Nike,Consumer Goods,GRI 302,Environmental,Energy,Energy consumption within organization,True,92
Nike,Consumer Goods,GRI 303,Environmental,Water & Effluents,Water withdrawal by source,True,59
Nike,Consumer Goods,GRI 304,Environmental,Biodiversity,Operational sites near protected areas,True,80
Nike,Consumer Goods,GRI 305,Environmental,Emissions,Direct GHG emissions (Scope 1),True,85
Nike,Consumer Goods,GRI 306,Environmental,Waste,Waste generated and disposal,True,74
Nike,Consumer Goods,GRI 308,Environmental,Supplier Environmental Assessment,New suppliers screened on environment,True,70
Nike,Consumer Goods,GRI 401,Social,Employment,New employee hires and turnover,True,94
Nike,Consumer Goods,GRI 402,Social,Labor/Management Relations,Minimum notice periods for operational changes,False,0
Nike,Consumer Goods,GRI 403,Social,Occupational Health & Safety,Management system for health and safety,True,99
Nike,Consumer Goods,GRI 404,Social,Training & Education,Average hours of training per year,True,70
Nike,Consumer Goods,GRI 405,Social,Diversity & Equal Opportunity,Diversity of governance bodies,True,95
Nike,Consumer Goods,GRI 406,Social,Non-Discrimination,Incidents of discrimination,True,74
Nike,Consumer Goods,GRI 407,Social,Freedom of Association,Operations where rights may be at risk,True,92
Nike,Consumer Goods,GRI 408,Social,Child Labor,Operations at significant risk for child labor,True,91
Nike,Consumer Goods,GRI 409,Social,Forced Labor,Operations at risk for forced labor,True,81
Nike,Consumer Goods,GRI 413,Social,Local Communities,Operations with local community engagement,True,58
Nike,Consumer Goods,GRI 414,Social,Supplier Social Assessment,New suppliers screened on social criteria,True,87
Nike,Consumer Goods,GRI 415,Social,Public Policy,Political contributions,True,56
Nike,Consumer Goods,GRI 416,Social,Customer Health & Safety,Assessment of health and safety impacts,True,78
Nike,Consumer Goods,GRI 418,Social,Customer Privacy,Substantiated complaints on privacy breaches,False,0
HSBC,Financials,GRI 2,Universal,General Disclosures,"Organizational profile, governance, stakeholder engagement",True,50
HSBC,Financials,GRI 3,Universal,Material Topics,Process for determining material topics,True,76
HSBC,Financials,GRI 201,Economic,Economic Performance,Direct economic value generated and distributed,True,59
HSBC,Financials,GRI 202,Economic,Market Presence,Ratios of standard entry level wage by gender,False,0
HSBC,Financials,GRI 203,Economic,Indirect Economic Impacts,Infrastructure investments and services supported,True,66
HSBC,Financials,GRI 204,Economic,Procurement Practices,Proportion of spending on local suppliers,True,94
HSBC,Financials,GRI 205,Economic,Anti-Corruption,Operations assessed for corruption risks,True,55
HSBC,Financials,GRI 206,Economic,Anti-Competitive Behavior,Legal actions for anti-competitive behavior,True,93
HSBC,Financials,GRI 207,Economic,Tax,"Approach to tax, governance, control",True,74
HSBC,Financials,GRI 301,Environmental,Materials,Materials used by weight or volume,True,90
HSBC,Financials,GRI 302,Environmental,Energy,Energy consumption within organization,True,98
HSBC,Financials,GRI 303,Environmental,Water & Effluents,Water withdrawal by source,True,84
HSBC,Financials,GRI 304,Environmental,Biodiversity,Operational sites near protected areas,False,0
HSBC,Financials,GRI 305,Environmental,Emissions,Direct GHG emissions (Scope 1),False,0
HSBC,Financials,GRI 306,Environmental,Waste,Waste generated and disposal,True,68
HSBC,Financials,GRI 308,Environmental,Supplier Environmental Assessment,New suppliers screened on environment,True,97
HSBC,Financials,GRI 401,Social,Employment,New employee hires and turnover,False,0
HSBC,Financials,GRI 402,Social,Labor/Management Relations,Minimum notice periods for operational changes,True,98
HSBC,Financials,GRI 403,Social,Occupational Health & Safety,Management system for health and safety,True,56
HSBC,Financials,GRI 404,Social,Training & Education,Average hours of training per year,True,94
HSBC,Financials,GRI 405,Social,Diversity & Equal Opportunity,Diversity of governance bodies,False,0
HSBC,Financials,GRI 406,Social,Non-Discrimination,Incidents of discrimination,False,0
HSBC,Financials,GRI 407,Social,Freedom of Association,Operations where rights may be at risk,True,53
HSBC,Financials,GRI 408,Social,Child Labor,Operations at significant risk for child labor,False,0
HSBC,Financials,GRI 409,Social,Forced Labor,Operations at risk for forced labor,True,59
HSBC,Financials,GRI 413,Social,Local Communities,Operations with local community engagement,False,0
HSBC,Financials,GRI 414,Social,Supplier Social Assessment,New suppliers screened on social criteria,True,93
HSBC,Financials,GRI 415,Social,Public Policy,Political contributions,True,60
HSBC,Financials,GRI 416,Social,Customer Health & Safety,Assessment of health and safety impacts,False,0
HSBC,Financials,GRI 418,Social,Customer Privacy,Substantiated complaints on privacy breaches,True,74
Goldman Sachs,Financials,GRI 2,Universal,General Disclosures,"Organizational profile, governance, stakeholder engagement",True,65
Goldman Sachs,Financials,GRI 3,Universal,Material Topics,Process for determining material topics,True,87
Goldman Sachs,Financials,GRI 201,Economic,Economic Performance,Direct economic value generated and distributed,False,0
Goldman Sachs,Financials,GRI 202,Economic,Market Presence,Ratios of standard entry level wage by gender,True,66
Goldman Sachs,Financials,GRI 203,Economic,Indirect Economic Impacts,Infrastructure investments and services supported,True,92
Goldman Sachs,Financials,GRI 204,Economic,Procurement Practices,Proportion of spending on local suppliers,False,0
Goldman Sachs,Financials,GRI 205,Economic,Anti-Corruption,Operations assessed for corruption risks,True,68
Goldman Sachs,Financials,GRI 206,Economic,Anti-Competitive Behavior,Legal actions for anti-competitive behavior,True,60
Goldman Sachs,Financials,GRI 207,Economic,Tax,"Approach to tax, governance, control",False,0
Goldman Sachs,Financials,GRI 301,Environmental,Materials,Materials used by weight or volume,True,87
Goldman Sachs,Financials,GRI 302,Environmental,Energy,Energy consumption within organization,False,0
Goldman Sachs,Financials,GRI 303,Environmental,Water & Effluents,Water withdrawal by source,True,94
Goldman Sachs,Financials,GRI 304,Environmental,Biodiversity,Operational sites near protected areas,False,0
Goldman Sachs,Financials,GRI 305,Environmental,Emissions,Direct GHG emissions (Scope 1),True,62
Goldman Sachs,Financials,GRI 306,Environmental,Waste,Waste generated and disposal,True,80
Goldman Sachs,Financials,GRI 308,Environmental,Supplier Environmental Assessment,New suppliers screened on environment,False,0
Goldman Sachs,Financials,GRI 401,Social,Employment,New employee hires and turnover,True,72
Goldman Sachs,Financials,GRI 402,Social,Labor/Management Relations,Minimum notice periods for operational changes,True,94
Goldman Sachs,Financials,GRI 403,Social,Occupational Health & Safety,Management system for health and safety,False,0
Goldman Sachs,Financials,GRI 404,Social,Training & Education,Average hours of training per year,True,92
Goldman Sachs,Financials,GRI 405,Social,Diversity & Equal Opportunity,Diversity of governance bodies,True,50
Goldman Sachs,Financials,GRI 406,Social,Non-Discrimination,Incidents of discrimination,True,93
Goldman Sachs,Financials,GRI 407,Social,Freedom of Association,Operations where rights may be at risk,True,53
Goldman Sachs,Financials,GRI 408,Social,Child Labor,Operations at significant risk for child labor,True,97
Goldman Sachs,Financials,GRI 409,Social,Forced Labor,Operations at risk for forced labor,True,68
Goldman Sachs,Financials,GRI 413,Social,Local Communities,Operations with local community engagement,True,64
Goldman Sachs,Financials,GRI 414,Social,Supplier Social Assessment,New suppliers screened on social criteria,True,72
Goldman Sachs,Financials,GRI 415,Social,Public Policy,Political contributions,False,0
Goldman Sachs,Financials,GRI 416,Social,Customer Health & Safety,Assessment of health and safety impacts,False,0
Goldman Sachs,Financials,GRI 418,Social,Customer Privacy,Substantiated complaints on privacy breaches,False,0
Siemens,Resource Transformation,GRI 2,Universal,General Disclosures,"Organizational profile, governance, stakeholder engagement",True,99
Siemens,Resource Transformation,GRI 3,Universal,Material Topics,Process for determining material topics,True,58
Siemens,Resource Transformation,GRI 201,Economic,Economic Performance,Direct economic value generated and distributed,True,90
Siemens,Resource Transformation,GRI 202,Economic,Market Presence,Ratios of standard entry level wage by gender,True,69
Siemens,Resource Transformation,GRI 203,Economic,Indirect Economic Impacts,Infrastructure investments and services supported,True,52
Siemens,Resource Transformation,GRI 204,Economic,Procurement Practices,Proportion of spending on local suppliers,True,96
Siemens,Resource Transformation,GRI 205,Economic,Anti-Corruption,Operations assessed for corruption risks,False,0
Siemens,Resource Transformation,GRI 206,Economic,Anti-Competitive Behavior,Legal actions for anti-competitive behavior,True,70
Siemens,Resource Transformation,GRI 207,Economic,Tax,"Approach to tax, governance, control",True,61
Siemens,Resource Transformation,GRI 301,Environmental,Materials,Materials used by weight or volume,False,0
Siemens,Resource Transformation,GRI 302,Environmental,Energy,Energy consumption within organization,True,73
Siemens,Resource Transformation,GRI 303,Environmental,Water & Effluents,Water withdrawal by source,True,67
Siemens,Resource Transformation,GRI 304,Environmental,Biodiversity,Operational sites near protected areas,True,66
Siemens,Resource Transformation,GRI 305,Environmental,Emissions,Direct GHG emissions (Scope 1),True,80
Siemens,Resource Transformation,GRI 306,Environmental,Waste,Waste generated and disposal,True,68
Siemens,Resource Transformation,GRI 308,Environmental,Supplier Environmental Assessment,New suppliers screened on environment,True,71
Siemens,Resource Transformation,GRI 401,Social,Employment,New employee hires and turnover,True,79
Siemens,Resource Transformation,GRI 402,Social,Labor/Management Relations,Minimum notice periods for operational changes,True,59
Siemens,Resource Transformation,GRI 403,Social,Occupational Health & Safety,Management system for health and safety,True,64
Siemens,Resource Transformation,GRI 404,Social,Training & Education,Average hours of training per year,True,96
Siemens,Resource Transformation,GRI 405,Social,Diversity & Equal Opportunity,Diversity of governance bodies,True,75
Siemens,Resource Transformation,GRI 406,Social,Non-Discrimination,Incidents of discrimination,True,85
Siemens,Resource Transformation,GRI 407,Social,Freedom of Association,Operations where rights may be at risk,True,100
Siemens,Resource Transformation,GRI 408,Social,Child Labor,Operations at significant risk for child labor,True,66
Siemens,Resource Transformation,GRI 409,Social,Forced Labor,Operations at risk for forced labor,True,79
Siemens,Resource Transformation,GRI 413,Social,Local Communities,Operations with local community engagement,True,97
Siemens,Resource Transformation,GRI 414,Social,Supplier Social Assessment,New suppliers screened on social criteria,True,87
Siemens,Resource Transformation,GRI 415,Social,Public Policy,Political contributions,True,90
Siemens,Resource Transformation,GRI 416,Social,Customer Health & Safety,Assessment of health and safety impacts,True,56
Siemens,Resource Transformation,GRI 418,Social,Customer Privacy,Substantiated complaints on privacy breaches,True,80
Toyota,Transportation,GRI 2,Universal,General Disclosures,"Organizational profile, governance, stakeholder engagement",False,0
Toyota,Transportation,GRI 3,Universal,Material Topics,Process for determining material topics,True,85
Toyota,Transportation,GRI 201,Economic,Economic Performance,Direct economic value generated and distributed,True,89
Toyota,Transportation,GRI 202,Economic,Market Presence,Ratios of standard entry level wage by gender,False,0
Toyota,Transportation,GRI 203,Economic,Indirect Economic Impacts,Infrastructure investments and services supported,False,0
Toyota,Transportation,GRI 204,Economic,Procurement Practices,Proportion of spending on local suppliers,True,94
Toyota,Transportation,GRI 205,Economic,Anti-Corruption,Operations assessed for corruption risks,True,76
Toyota,Transportation,GRI 206,Economic,Anti-Competitive Behavior,Legal actions for anti-competitive behavior,False,0
Toyota,Transportation,GRI 207,Economic,Tax,"Approach to tax, governance, control",False,0
Toyota,Transportation,GRI 301,Environmental,Materials,Materials used by weight or volume,False,0
Toyota,Transportation,GRI 302,Environmental,Energy,Energy consumption within organization,True,57
Toyota,Transportation,GRI 303,Environmental,Water & Effluents,Water withdrawal by source,False,0
Toyota,Transportation,GRI 304,Environmental,Biodiversity,Operational sites near protected areas,True,58
Toyota,Transportation,GRI 305,Environmental,Emissions,Direct GHG emissions (Scope 1),True,73
Toyota,Transportation,GRI 306,Environmental,Waste,Waste generated and disposal,True,97
Toyota,Transportation,GRI 308,Environmental,Supplier Environmental Assessment,New suppliers screened on environment,True,84
Toyota,Transportation,GRI 401,Social,Employment,New employee hires and turnover,True,97
Toyota,Transportation,GRI 402,Social,Labor/Management Relations,Minimum notice periods for operational changes,True,76
Toyota,Transportation,GRI 403,Social,Occupational Health & Safety,Management system for health and safety,True,81
Toyota,Transportation,GRI 404,Social,Training & Education,Average hours of training per year,True,67
Toyota,Transportation,GRI 405,Social,Diversity & Equal Opportunity,Diversity of governance bodies,False,0
Toyota,Transportation,GRI 406,Social,Non-Discrimination,Incidents of discrimination,True,78
Toyota,Transportation,GRI 407,Social,Freedom of Association,Operations where rights may be at risk,True,65
Toyota,Transportation,GRI 408,Social,Child Labor,Operations at significant risk for child labor,True,56
Toyota,Transportation,GRI 409,Social,Forced Labor,Operations at risk for forced labor,True,73
Toyota,Transportation,GRI 413,Social,Local Communities,Operations with local community engagement,True,91
Toyota,Transportation,GRI 414,Social,Supplier Social Assessment,New suppliers screened on social criteria,True,75
Toyota,Transportation,GRI 415,Social,Public Policy,Political contributions,False,0
Toyota,Transportation,GRI 416,Social,Customer Health & Safety,Assessment of health and safety impacts,True,79
Toyota,Transportation,GRI 418,Social,Customer Privacy,Substantiated complaints on privacy breaches,False,0
Samsung,Technology & Communications,GRI 2,Universal,General Disclosures,"Organizational profile, governance, stakeholder engagement",False,0
Samsung,Technology & Communications,GRI 3,Universal,Material Topics,Process for determining material topics,True,51
Samsung,Technology & Communications,GRI 201,Economic,Economic Performance,Direct economic value generated and distributed,False,0
Samsung,Technology & Communications,GRI 202,Economic,Market Presence,Ratios of standard entry level wage by gender,True,58
Samsung,Technology & Communications,GRI 203,Economic,Indirect Economic Impacts,Infrastructure investments and services supported,True,63
Samsung,Technology & Communications,GRI 204,Economic,Procurement Practices,Proportion of spending on local suppliers,False,0
Samsung,Technology & Communications,GRI 205,Economic,Anti-Corruption,Operations assessed for corruption risks,True,63
Samsung,Technology & Communications,GRI 206,Economic,Anti-Competitive Behavior,Legal actions for anti-competitive behavior,True,64
Samsung,Technology & Communications,GRI 207,Economic,Tax,"Approach to tax, governance, control",True,59
Samsung,Technology & Communications,GRI 301,Environmental,Materials,Materials used by weight or volume,True,88
Samsung,Technology & Communications,GRI 302,Environmental,Energy,Energy consumption within organization,False,0
Samsung,Technology & Communications,GRI 303,Environmental,Water & Effluents,Water withdrawal by source,True,59
Samsung,Technology & Communications,GRI 304,Environmental,Biodiversity,Operational sites near protected areas,True,84
Samsung,Technology & Communications,GRI 305,Environmental,Emissions,Direct GHG emissions (Scope 1),False,0
Samsung,Technology & Communications,GRI 306,Environmental,Waste,Waste generated and disposal,False,0
Samsung,Technology & Communications,GRI 308,Environmental,Supplier Environmental Assessment,New suppliers screened on environment,True,51
Samsung,Technology & Communications,GRI 401,Social,Employment,New employee hires and turnover,False,0
Samsung,Technology & Communications,GRI 402,Social,Labor/Management Relations,Minimum notice periods for operational changes,True,100
Samsung,Technology & Communications,GRI 403,Social,Occupational Health & Safety,Management system for health and safety,False,0
Samsung,Technology & Communications,GRI 404,Social,Training & Education,Average hours of training per year,True,61
Samsung,Technology & Communications,GRI 405,Social,Diversity & Equal Opportunity,Diversity of governance bodies,False,0
Samsung,Technology & Communications,GRI 406,Social,Non-Discrimination,Incidents of discrimination,False,0
Samsung,Technology & Communications,GRI 407,Social,Freedom of Association,Operations where rights may be at risk,True,57
Samsung,Technology & Communications,GRI 408,Social,Child Labor,Operations at significant risk for child labor,True,80
Samsung,Technology & Communications,GRI 409,Social,Forced Labor,Operations at risk for forced labor,True,73
Samsung,Technology & Communications,GRI 413,Social,Local Communities,Operations with local community engagement,True,56
Samsung,Technology & Communications,GRI 414,Social,Supplier Social Assessment,New suppliers screened on social criteria,True,64
Samsung,Technology & Communications,GRI 415,Social,Public Policy,Political contributions,True,52
Samsung,Technology & Communications,GRI 416,Social,Customer Health & Safety,Assessment of health and safety impacts,True,92
Samsung,Technology & Communications,GRI 418,Social,Customer Privacy,Substantiated complaints on privacy breaches,True,79
Alibaba,Services,GRI 2,Universal,General Disclosures,"Organizational profile, governance, stakeholder engagement",True,51
Alibaba,Services,GRI 3,Universal,Material Topics,Process for determining material topics,False,0
Alibaba,Services,GRI 201,Economic,Economic Performance,Direct economic value generated and distributed,True,75
Alibaba,Services,GRI 202,Economic,Market Presence,Ratios of standard entry level wage by gender,True,56
Alibaba,Services,GRI 203,Economic,Indirect Economic Impacts,Infrastructure investments and services supported,True,78
Alibaba,Services,GRI 204,Economic,Procurement Practices,Proportion of spending on local suppliers,False,0
Alibaba,Services,GRI 205,Economic,Anti-Corruption,Operations assessed for corruption risks,False,0
Alibaba,Services,GRI 206,Economic,Anti-Competitive Behavior,Legal actions for anti-competitive behavior,True,54
Alibaba,Services,GRI 207,Economic,Tax,"Approach to tax, governance, control",False,0
Alibaba,Services,GRI 301,Environmental,Materials,Materials used by weight or volume,True,87
Alibaba,Services,GRI 302,Environmental,Energy,Energy consumption within organization,True,70
Alibaba,Services,GRI 303,Environmental,Water & Effluents,Water withdrawal by source,True,88
Alibaba,Services,GRI 304,Environmental,Biodiversity,Operational sites near protected areas,True,79
Alibaba,Services,GRI 305,Environmental,Emissions,Direct GHG emissions (Scope 1),True,77
Alibaba,Services,GRI 306,Environmental,Waste,Waste generated and disposal,False,0
Alibaba,Services,GRI 308,Environmental,Supplier Environmental Assessment,New suppliers screened on environment,True,91
Alibaba,Services,GRI 401,Social,Employment,New employee hires and turnover,True,99
Alibaba,Services,GRI 402,Social,Labor/Management Relations,Minimum notice periods for operational changes,True,63
Alibaba,Services,GRI 403,Social,Occupational Health & Safety,Management system for health and safety,True,64
Alibaba,Services,GRI 404,Social,Training & Education,Average hours of training per year,True,79
Alibaba,Services,GRI 405,Social,Diversity & Equal Opportunity,Diversity of governance bodies,True,96
Alibaba,Services,GRI 406,Social,Non-Discrimination,Incidents of discrimination,False,0
Alibaba,Services,GRI 407,Social,Freedom of Association,Operations where rights may be at risk,True,92
Alibaba,Services,GRI 408,Social,Child Labor,Operations at significant risk for child labor,False,0
Alibaba,Services,GRI 409,Social,Forced Labor,Operations at risk for forced labor,True,93
Alibaba,Services,GRI 413,Social,Local Communities,Operations with local community engagement,True,54
Alibaba,Services,GRI 414,Social,Supplier Social Assessment,New suppliers screened on social criteria,False,0
Alibaba,Services,GRI 415,Social,Public Policy,Political contributions,False,0
Alibaba,Services,GRI 416,Social,Customer Health & Safety,Assessment of health and safety impacts,True,97
Alibaba,Services,GRI 418,Social,Customer Privacy,Substantiated complaints on privacy breaches,True,58
Reliance Industries,Extractives & Minerals Processing,GRI 2,Universal,General Disclosures,"Organizational profile, governance, stakeholder engagement",True,87
Reliance Industries,Extractives & Minerals Processing,GRI 3,Universal,Material Topics,Process for determining material topics,True,85
Reliance Industries,Extractives & Minerals Processing,GRI 201,Economic,Economic Performance,Direct economic value generated and distributed,True,57
Reliance Industries,Extractives & Minerals Processing,GRI 202,Economic,Market Presence,Ratios of standard entry level wage by gender,True,92
Reliance Industries,Extractives & Minerals Processing,GRI 203,Economic,Indirect Economic Impacts,Infrastructure investments and services supported,True,77
Reliance Industries,Extractives & Minerals Processing,GRI 204,Economic,Procurement Practices,Proportion of spending on local suppliers,True,96
Reliance Industries,Extractives & Minerals Processing,GRI 205,Economic,Anti-Corruption,Operations assessed for corruption risks,False,0
Reliance Industries,Extractives & Minerals Processing,GRI 206,Economic,Anti-Competitive Behavior,Legal actions for anti-competitive behavior,False,0
Reliance Industries,Extractives & Minerals Processing,GRI 207,Economic,Tax,"Approach to tax, governance, control",True,56
Reliance Industries,Extractives & Minerals Processing,GRI 301,Environmental,Materials,Materials used by weight or volume,True,63
Reliance Industries,Extractives & Minerals Processing,GRI 302,Environmental,Energy,Energy consumption within organization,False,0
Reliance Industries,Extractives & Minerals Processing,GRI 303,Environmental,Water & Effluents,Water withdrawal by source,True,56
Reliance Industries,Extractives & Minerals Processing,GRI 304,Environmental,Biodiversity,Operational sites near protected areas,True,85
Reliance Industries,Extractives & Minerals Processing,GRI 305,Environmental,Emissions,Direct GHG emissions (Scope 1),True,98
Reliance Industries,Extractives & Minerals Processing,GRI 306,Environmental,Waste,Waste generated and disposal,False,0
Reliance Industries,Extractives & Minerals Processing,GRI 308,Environmental,Supplier Environmental Assessment,New suppliers screened on environment,False,0
Reliance Industries,Extractives & Minerals Processing,GRI 401,Social,Employment,New employee hires and turnover,True,85
Reliance Industries,Extractives & Minerals Processing,GRI 402,Social,Labor/Management Relations,Minimum notice periods for operational changes,True,89
Reliance Industries,Extractives & Minerals Processing,GRI 403,Social,Occupational Health & Safety,Management system for health and safety,True,91
Reliance Industries,Extractives & Minerals Processing,GRI 404,Social,Training & Education,Average hours of training per year,True,88
Reliance Industries,Extractives & Minerals Processing,GRI 405,Social,Diversity & Equal Opportunity,Diversity of governance bodies,True,94
Reliance Industries,Extractives & Minerals Processing,GRI 406,Social,Non-Discrimination,Incidents of discrimination,False,0
Reliance Industries,Extractives & Minerals Processing,GRI 407,Social,Freedom of Association,Operations where rights may be at risk,False,0
Reliance Industries,Extractives & Minerals Processing,GRI 408,Social,Child Labor,Operations at significant risk for child labor,True,69
Reliance Industries,Extractives & Minerals Processing,GRI 409,Social,Forced Labor,Operations at risk for forced labor,True,72
Reliance Industries,Extractives & Minerals Processing,GRI 413,Social,Local Communities,Operations with local community engagement,False,0
Reliance Industries,Extractives & Minerals Processing,GRI 414,Social,Supplier Social Assessment,New suppliers screened on social criteria,True,86
Reliance Industries,Extractives & Minerals Processing,GRI 415,Social,Public Policy,Political contributions,True,54
Reliance Industries,Extractives & Minerals Processing,GRI 416,Social,Customer Health & Safety,Assessment of health and safety impacts,False,0
Reliance Industries,Extractives & Minerals Processing,GRI 418,Social,Customer Privacy,Substantiated complaints on privacy breaches,True,51
Saudi Aramco,Extractives & Minerals Processing,GRI 2,Universal,General Disclosures,"Organizational profile, governance, stakeholder engagement",False,0
Saudi Aramco,Extractives & Minerals Processing,GRI 3,Universal,Material Topics,Process for determining material topics,True,74
Saudi Aramco,Extractives & Minerals Processing,GRI 201,Economic,Economic Performance,Direct economic value generated and distributed,True,71
Saudi Aramco,Extractives & Minerals Processing,GRI 202,Economic,Market Presence,Ratios of standard entry level wage by gender,False,0
Saudi Aramco,Extractives & Minerals Processing,GRI 203,Economic,Indirect Economic Impacts,Infrastructure investments and services supported,True,70
Saudi Aramco,Extractives & Minerals Processing,GRI 204,Economic,Procurement Practices,Proportion of spending on local suppliers,True,86
Saudi Aramco,Extractives & Minerals Processing,GRI 205,Economic,Anti-Corruption,Operations assessed for corruption risks,True,53
Saudi Aramco,Extractives & Minerals Processing,GRI 206,Economic,Anti-Competitive Behavior,Legal actions for anti-competitive behavior,False,0
Saudi Aramco,Extractives & Minerals Processing,GRI 207,Economic,Tax,"Approach to tax, governance, control",True,53
Saudi Aramco,Extractives & Minerals Processing,GRI 301,Environmental,Materials,Materials used by weight or volume,True,67
Saudi Aramco,Extractives & Minerals Processing,GRI 302,Environmental,Energy,Energy consumption within organization,True,77
Saudi Aramco,Extractives & Minerals Processing,GRI 303,Environmental,Water & Effluents,Water withdrawal by source,True,78
Saudi Aramco,Extractives & Minerals Processing,GRI 304,Environmental,Biodiversity,Operational sites near protected areas,True,63
Saudi Aramco,Extractives & Minerals Processing,GRI 305,Environmental,Emissions,Direct GHG emissions (Scope 1),True,57
Saudi Aramco,Extractives & Minerals Processing,GRI 306,Environmental,Waste,Waste generated and disposal,True,57
Saudi Aramco,Extractives & Minerals Processing,GRI 308,Environmental,Supplier Environmental Assessment,New suppliers screened on environment,False,0
Saudi Aramco,Extractives & Minerals Processing,GRI 401,Social,Employment,New employee hires and turnover,True,81
